"power","Fold_1","Fold_2","Fold_3","Fold_4","Fold_5","Fold_6","Fold_7","Fold_8","Fold_9","Fold_10"
2,0.00714726844385326,0.00727070783377704,0.00718595142112749,0.00711578432501402,0.00736311098479595,0.00739272896236225,0.00768753633377834,0.00723676769801444,0.00694032439497459,0.00739429505446678
3,0.00413115607647009,0.00419254487991211,0.00414630434977853,0.00411272184385895,0.00425472574368327,0.00426816868477456,0.00442087445601975,0.00417699592225715,0.00401400934658901,0.00426595552502995
4,0.00303848058620447,0.00307833546780022,0.00304582669297052,0.00302171116355532,0.00312708095849401,0.00313667679523956,0.00324418009931023,0.00306837496316825,0.00295295930129826,0.00313469129035934
5,0.00250381528481227,0.00253319534770678,0.00250692210662836,0.00248705428513739,0.00257518167228319,0.00258267906901593,0.00266887055463098,0.00252546568707306,0.00243401623666539,0.0025813096044545
6,0.00219139022654186,0.00221476628993808,0.00219251763125876,0.00217477999719446,0.00225211375159353,0.00225876651718556,0.00233231871975024,0.0022086849353205,0.00213045572522429,0.00225792950513906
7,0.001987849384299,0.00200705455258069,0.00198754940747133,0.00197130625790831,0.00204159851793716,0.00204746638478559,0.00211298028415572,0.00200227144716621,0.00193286583424899,0.00204762832333695
8,0.00184395494362936,0.00186027532245588,0.00184265716628642,0.00182736101987864,0.00189276949862486,0.00189817394287204,0.00195814972011408,0.00185618675451623,0.00179297765154769,0.00189908635589341
9,0.00173566606871447,0.0017501805105028,0.00173354745801181,0.00171919985752994,0.00178118194595154,0.00178628561670523,0.00184189021048007,0.00174649350364215,0.0016878488338211,0.00178744774647763
10,0.00165092399110576,0.00166401758110148,0.00164847289516858,0.00163433345318305,0.00169387252125951,0.00169860078514405,0.00175087645696231,0.00166051096777161,0.00160572026626335,0.00170024474333045
11,0.00158312492505736,0.00159462688909058,0.00158006436092662,0.00156620059629984,0.00162373035001813,0.00162816504272534,0.00167798660600909,0.00159150972193552,0.00153942642978055,0.00163027137240892
12,0.00152643689560348,0.00153677021528204,0.00152317493333721,0.0015097951307835,0.00156495596426501,0.00156928805204418,0.00161706249469089,0.00153415737758733,0.00148496412937229,0.0015719738908735
13,0.0014784468039245,0.0014880702324963,0.00147489823085259,0.0014618877597892,0.00151571912378581,0.00152008654962338,0.00156599671835948,0.00148569245107452,0.00143837898901079,0.00152314063466568
14,0.00143752710282428,0.00144624074057612,0.00143359829975962,0.00142081656266,0.00147303751609409,0.00147720935076758,0.00152153039965962,0.00144421875613298,0.00139863802995847,0.00148063627398164
15,0.00140100844963878,0.00140915775447982,0.00139687297020235,0.00138469876460841,0.00143533414676262,0.00143943245111836,0.00148263879313873,0.00140754330242236,0.00136344427904939,0.00144324521167872
16,0.00136872857914615,0.00137618175272962,0.00136444617741943,0.0013524925907059,0.00140213579007445,0.00140625136022816,0.00144836343085089,0.00137489160696107,0.00133199045726552,0.00141037181740715
17,0.00133963161251556,0.00134662064881422,0.00133511362380289,0.00132321723461702,0.00137216944347206,0.00137625110979342,0.00141706460868932,0.00134554664171206,0.00130391164070421,0.00138053167176292
18,0.00131324672570453,0.0013195086052345,0.00130860933508926,0.00129690210628485,0.00134434969984874,0.00134854737767913,0.00138845070618544,0.00131874715802782,0.00127822416752673,0.0013532935359914
19,0.00128876691282715,0.00129471769649958,0.00128402184229559,0.0012726581596024,0.00131922894186843,0.00132345247071155,0.00136256207905553,0.00129408301709756,0.00125482279686917,0.00132865431876044
20,0.00126641677258441,0.00127189418228597,0.00126181895910954,0.00125064752243355,0.00129650879527303,0.00130066633296379,0.0013390425467081,0.00127146524654929,0.00123342511898924,0.0013063764655065
