"power","Fold_1","Fold_2","Fold_3","Fold_4","Fold_5","Fold_6","Fold_7","Fold_8","Fold_9","Fold_10"
2,0.0311569388616436,0.0313130719906681,0.0313610997141618,0.0315980899394522,0.0309419323806649,0.031104918339706,0.0305876346153572,0.0313488252729204,0.0317140337867253,0.0309116735870866
3,0.0156029514035236,0.015644247292923,0.0156854738250792,0.0157926410640626,0.0154691574589458,0.0155580620062998,0.0153097167201684,0.0156789883387461,0.0158677406088542,0.0154659285640505
4,0.0107129273774808,0.0107252486987382,0.0107538592861701,0.0108288809836261,0.0106074936668622,0.0106671042486047,0.010499737778237,0.0107494243531465,0.0108883112365313,0.0106088573575875
5,0.00842588498747412,0.00842567523372822,0.00844793255161431,0.00850906563505325,0.00833245127505699,0.00837834146417551,0.00824926067321412,0.00844412393818169,0.00855995946606903,0.00833714550654748
6,0.00713100736469248,0.00712421599561571,0.00714206676516799,0.0071958186868814,0.00704539327491064,0.00708296429686094,0.00697576775627427,0.00713884564429206,0.00724262769581323,0.00705157732418324
7,0.00630437111843867,0.00629406775860887,0.00630861749232667,0.00635742448291982,0.00622385771184155,0.00625601377039425,0.00616286711091384,0.00630568725047637,0.00640165047658793,0.00622999738894579
8,0.00573410967915439,0.00572136987992651,0.00573387615203407,0.00577955463575563,0.00565696790154424,0.0056852274649786,0.005601540362486,0.00573121714633186,0.00582242406174198,0.0056630070590689
9,0.00531820454484136,0.00530343720311609,0.00531490199501812,0.00535801461609079,0.00524331189924419,0.00526823221106578,0.00519206915887686,0.00531192446199017,0.00539977140605087,0.00524952766844988
10,0.00500226432957354,0.00498561832502585,0.00499591161330246,0.00503796829752061,0.0049285711360595,0.00495148450459178,0.00488067602958536,0.00499347982519202,0.00507848876863826,0.00493479283468017
11,0.00475347588698091,0.00473622821389362,0.00474525544817254,0.00478651736430688,0.00468143881370104,0.00470227188847574,0.00463569490151767,0.00474298589731177,0.00482669869528836,0.00468748428486164
12,0.00455366621561598,0.00453572208610003,0.00454378074462921,0.00458376366232196,0.00448326701483434,0.00450239262682377,0.00443909799155021,0.00454160214073466,0.00462285645204845,0.00448864073068393
13,0.00438901571494407,0.00437022696864391,0.00437777599371598,0.00441709116904192,0.00431909882411448,0.00433646481025569,0.00427630776274659,0.00437531112666759,0.00445586859263696,0.00432387658341187
14,0.00425072242958894,0.00423170535962536,0.00423855524476554,0.00427747466467181,0.00418233619407279,0.00419862853443354,0.00414109377900765,0.00423592483730587,0.00431568203479786,0.00418691733721729
15,0.00413437443740238,0.00411473795874025,0.00412122720255201,0.00415916770253513,0.00406671022320866,0.00408186889511829,0.00402602638061678,0.00411807884975936,0.00419733313995303,0.0040708659761918
16,0.00403418112129714,0.00401433714050757,0.00402007404222398,0.004057800066183,0.00396700312824555,0.00398102484183306,0.00392692267366737,0.0040170302599466,0.00409604331435796,0.00397070422136041
17,0.00394743371307561,0.00392718804109778,0.00393277062378625,0.00397043773125558,0.00388082341239233,0.00389389664395093,0.00384181149659082,0.00392947204145185,0.00400790214021658,0.00388437324390466
18,0.00387177106633045,0.00385170103567705,0.00385639256633183,0.00389393509204536,0.00380674572557075,0.00381866719777518,0.00376800131750874,0.00385339037912063,0.00393148352390143,0.00380941148748698
19,0.00380579974923447,0.00378533766277223,0.00378985618336305,0.00382702189705909,0.00374102883937638,0.00375203459569131,0.00370256067019536,0.00378668873566705,0.0038641627150638,0.00374294596661044
20,0.00374716412614394,0.00372672668889632,0.00373025194293865,0.0037673517643961,0.00368227891290166,0.00369261879853978,0.00364424102561708,0.00372762329574001,0.00380429744255003,0.0036835537903143
