"power","Fold_1","Fold_2","Fold_3","Fold_4","Fold_5","Fold_6","Fold_7","Fold_8","Fold_9","Fold_10"
2,0.0437919424266917,0.0433623436994359,0.0441925968826992,0.0459625705648648,0.0436021090370922,0.0436479610069867,0.045467589144681,0.0424656312432221,0.0456673308516698,0.0428917624017549
2.25,0.0372999185037378,0.0369152497161524,0.0376341089539494,0.0391524907986575,0.0371208219436707,0.0371941265964342,0.0387575977063365,0.0361638259915305,0.0389286116268134,0.0365671960464235
2.5,0.0326428145137276,0.0322993487072325,0.0329457581480415,0.0342387245088392,0.0324904152511626,0.0325761969894533,0.0339239846425629,0.0316456553886677,0.0340607489190831,0.032012959007595
2.75,0.029101840293579,0.0287815107189838,0.0293787749065195,0.0305352380949027,0.0289587608016872,0.0290612983930582,0.0302640315743101,0.0282087215689678,0.0303812541638911,0.0285342166850024
3,0.0263656227429311,0.026072231118701,0.0266204139709554,0.0276547645170887,0.0262362466630227,0.026348441086639,0.0274268618479179,0.0255557379699555,0.0275245821772482,0.0258550893902704
3.25,0.0241864282122644,0.0239072746907967,0.0244245962171386,0.0253745349085428,0.0240695035166692,0.0241866750800754,0.0251723690276742,0.0234359250655615,0.0252579854753131,0.023711345015263
3.5,0.0224237776563421,0.0221603155093977,0.022648253471494,0.0235227806595316,0.0223178058348416,0.0224391792660994,0.0233474501025565,0.0217260355204548,0.0234178533039657,0.0219826377029594
3.75,0.0209599247557658,0.0207159160858799,0.0211725877942006,0.0220078013364701,0.0208660264413877,0.0209889283674373,0.0218438012637644,0.0203131927749122,0.0219077708007289,0.0205503231655295
4,0.0197464333388715,0.0195085794258768,0.019950369021747,0.0207303809142966,0.019660016692079,0.0197864656750498,0.0205832669561491,0.0191357137820362,0.0206385275666337,0.0193553561415366
4.25,0.0187182474130871,0.0184890736404593,0.0189146041246538,0.0196572633483239,0.0186397011380821,0.0187668907272858,0.0195249858303241,0.0181399824564347,0.019571522827681,0.0183465305491179
4.5,0.0178425437435448,0.0176197536456199,0.0180280442423297,0.0187386841534301,0.0177685156449464,0.0179004749426094,0.01861386583445,0.0172876966639773,0.0186532477929915,0.0174840380031157
4.75,0.0170804630992892,0.0168658458747637,0.0172599660225472,0.0179461794141118,0.0170134999854844,0.0171454939907977,0.017828238194688,0.0165522554170338,0.0178642731197716,0.0167369580751711
5,0.016419171121959,0.0162051403954199,0.0165957160482507,0.0172547768050181,0.016354190052634,0.0164887997685652,0.0171428923321709,0.0159097242065829,0.0171738683011742,0.0160847368358146
5.25,0.015837810326272,0.0156289056940284,0.0160066847372176,0.0166498725975696,0.0157770537961741,0.0159118532309423,0.0165463981465179,0.0153452763520229,0.0165732495334321,0.0155130343387337
5.5,0.0153286162889397,0.0151251182830974,0.0154933118880893,0.0161132363406406,0.0152721555804884,0.0154073716818679,0.0160143523484346,0.0148494477981336,0.0160370039509686,0.0150133422332506
5.75,0.0148711400179003,0.0146759689876812,0.0150330874645591,0.0156301813290594,0.0148203830138403,0.0149557127144028,0.0155390815042728,0.0144117106063316,0.0155588331136297,0.0145677730844763
6,0.0144578607977606,0.0142715628187218,0.0146181879350321,0.0152007783112064,0.0144110808893471,0.0145471330592929,0.0151104034941912,0.0140170964223079,0.0151301652268242,0.0141657919624087
