"power","Fold_1","Fold_2","Fold_3","Fold_4","Fold_5","Fold_6","Fold_7","Fold_8","Fold_9","Fold_10"
2,0.0174722888875072,0.0177111976778845,0.0166444124914063,0.0157607287729891,0.0172559694860206,0.017470769972642,0.0161608354699738,0.0176388309764464,0.0156192869684039,0.0178498475626133
2.25,0.0142148086058041,0.0144154517801809,0.0135802761701153,0.012831188240127,0.0140707964721734,0.0142324796191065,0.0131730637397111,0.0143731261777205,0.0127019090362029,0.0145239040533288
2.5,0.0119693644585365,0.0121440410070535,0.0114460865366846,0.0108091698232475,0.0118606397866702,0.0119899880900295,0.0111023281163722,0.0121310142073079,0.0106921201192105,0.0122444846897582
2.75,0.0103216194965217,0.010476396152311,0.00988076989966361,0.00933243587363187,0.010240311648798,0.0103441058232083,0.00959183568332673,0.0104789961932019,0.00922718183890179,0.0105723658325229
3,0.00907800715501181,0.00921483094047697,0.00870056751938599,0.0082126626212695,0.00901475000803004,0.00909919740577332,0.00844441272147575,0.00922860582691831,0.00811552281055067,0.00930573937775447
3.25,0.00810604292154301,0.00823392843286643,0.00777425533887076,0.00733535148460367,0.00805581313423448,0.00812694247227243,0.0075477779339686,0.00825507852995887,0.00724699767536717,0.00832121117807058
3.5,0.00733274355331245,0.00744879638675956,0.00703820982793762,0.00663759376823424,0.00729094348554743,0.00735190345307156,0.00683178691240387,0.00747404504098714,0.00655567018498574,0.00753082810469635
3.75,0.00670414006618733,0.00681091789273374,0.00643776098968175,0.00606441220295038,0.00666874587839258,0.00672061758902661,0.00624695958615236,0.00683960289489126,0.00599008985720183,0.00689081548178194
4,0.00618111075657158,0.00628318674786046,0.00593864378148113,0.00559674621539041,0.00615153885348351,0.00619612220743021,0.00576726402066762,0.00631355288925928,0.00552759591951622,0.00635904891683252
4.25,0.00574599776385357,0.00584263560212598,0.00552281608725553,0.00520173152751904,0.00572019790349265,0.00575960967348485,0.00536112768201405,0.00587287736029697,0.00513676719178586,0.0059142399955873
4.5,0.00537419543569988,0.00546743666848325,0.00516809901415233,0.00486462754711179,0.00535297039406208,0.00538468494314744,0.0050169224299029,0.00550032949039142,0.00480555009236332,0.00553670903420961
4.75,0.00505681593021558,0.00514486789588568,0.00486496158085722,0.00457515739122463,0.00503736360267614,0.00506561343414016,0.00472097631486395,0.00517685220290527,0.00451972833087272,0.00521141547220852
5,0.00478032500875169,0.00486765857110862,0.00459897168923333,0.00432307446709336,0.00476495958698786,0.00478827665955854,0.00446341644846971,0.00489927949243121,0.00427195170088509,0.00493091877804887
5.25,0.00453718782372419,0.00462233515993237,0.0043671438526127,0.00410309158264266,0.00452420234415398,0.00454408667910537,0.00423633155856088,0.00465538381111248,0.00405380497872274,0.0046833549225838
5.5,0.00432301433598036,0.0044052637258944,0.00416115449802939,0.00390831312918425,0.00431135325797108,0.00432850062415474,0.00403685602103249,0.00443879946933782,0.00386236394834596,0.00446366979967054
5.75,0.00413353732033003,0.00421076268882343,0.00397868053290907,0.00373680086248588,0.0041222309833435,0.00413676538352385,0.00386040734804545,0.00424518782562432,0.00369225011587652,0.00426770435122632
6,0.00396501273643191,0.00403822466669564,0.00381540615359635,0.00358337816553179,0.00395442950441228,0.00396636868934084,0.00370368713626895,0.00407326912601473,0.00354068875359055,0.00409474207371988
